plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
262,259-266,right,0.9453,8,mysk,0.75,TH04,mysk-a,2094.76
263,259-266,right,0.9453,8,mysk,0.75,TH05,mysk-b,2094.76
264,259-266,right,0.9453,8,mysk,0.75,TH06,mysk-a,2094.65
265,259-266,right,0.9453,8,mysk,0.75,TH07,mysk-b,2111.45
266,259-266,right,0.9453,8,mysk,0.75,TH08,moon-b,2607.99
267,267-270,left,0.9153,4-1,moon,1.0,TH01,moon-a,2607.99
268,267-270,left,0.9153,4-1,moon,1.0,TH02,moon-a,2179.8
269,267-270,left,0.9153,4-1,moon,1.0,TH03,moon-b,2179.8
270,267-270,left,0.9153,4-1,moon,1.0,TH04,moon-b,2607.99
271,271-274,right,0.9231,4-2,mysk,1.0,TH04,mysk-b,2586.13
272,271-274,right,0.9231,4-2,mysk,1.0,TH03,mysk-b,2111.02
273,271-274,right,0.9231,4-2,mysk,1.0,TH02,mysk-a,2111.02
274,271-274,right,0.9231,4-2,mysk,1.0,TH01,mysk-a,2586.13
275,275-282,left,0.9573,8,mysk,0.75,TH01,moon-a,2607.99
276,275-282,left,0.9573,8,mysk,0.75,TH02,mysk-a,2111.45
277,275-282,left,0.9573,8,mysk,0.75,TH03,mysk-b,2094.98
278,275-282,left,0.9573,8,mysk,0.75,TH04,mysk-a,2094.76
279,275-282,left,0.9573,8,mysk,0.75,TH05,mysk-b,2094.76
280,275-282,left,0.9573,8,mysk,0.75,TH06,mysk-a,2094.65
281,275-282,left,0.9573,8,mysk,0.75,TH07,mysk-b,2111.45
282,275-282,left,0.9573,8,mysk,0.75,TH08,moon-b,2607.99
283,283-286,right,0.9777,4-1,moon,1.0,TH01,moon-a,2607.99
284,283-286,right,0.9777,4-1,moon,1.0,TH02,moon-a,2179.8
285,283-286,right,0.9777,4-1,moon,1.0,TH03,moon-b,2179.8
286,283-286,right,0.9777,4-1,moon,1.0,TH04,moon-b,2607.99
287,287-290,right,0.9442,4-2,mysk,1.0,TH01,mysk-a,2586.13
288,287-290,right,0.9442,4-2,mysk,1.0,TH02,mysk-a,2111.02
289,287-290,right,0.9442,4-2,mysk,1.0,TH03,mysk-b,2111.02
290,287-290,right,0.9442,4-2,mysk,1.0,TH04,mysk-b,2586.13
291,291-298,right,0.9888,8,mysk,0.7503,TH01,moon-a,2607.99
292,291-298,right,0.9888,8,mysk,0.7503,TH02,mysk-a,2111.45
293,291-298,right,0.9888,8,mysk,0.7503,TH03,mysk-b,2094.98
294,291-298,right,0.9888,8,mysk,0.7503,TH04,mysk-a,2094.76
295,291-298,right,0.9888,8,mysk,0.7503,TH05,mysk-b,2094.76
296,291-298,right,0.9888,8,mysk,0.7503,TH06,mysk-a,2094.65
297,291-298,right,0.9888,8,mysk,0.7503,TH07,mysk-b,2111.45
298,291-298,right,0.9888,8,mysk,0.7503,TH08,moon-b,2607.99
299,299-302,left,0.9427,4-1,moon,1.0,TH01,moon-a,2607.99
300,299-302,left,0.9427,4-1,moon,1.0,TH02,moon-a,2179.8
301,299-302,left,0.9427,4-1,moon,1.0,TH03,moon-b,2179.8
302,299-302,left,0.9427,4-1,moon,1.0,TH04,moon-b,2607.99
303,303-306,left,0.9007,4-2,mysk,1.0,TH01,mysk-a,2586.13
304,303-306,left,0.9007,4-2,mysk,1.0,TH02,mysk-a,2111.02
305,303-306,left,0.9007,4-2,mysk,1.0,TH03,mysk-b,2111.02
306,303-306,left,0.9007,4-2,mysk,1.0,TH04,mysk-b,2586.13
307,307-314,left,0.7261,8,moon,0.6667,TH01,moon-a,2607.99
308,307-314,left,0.7261,8,moon,0.6667,TH02,mysk-a,2111.45
309,307-314,left,0.7261,8,moon,0.6667,TH03,mysk-b,2094.98
310,307-314,left,0.7261,8,moon,0.6667,TH04,mysk-a,2094.76
311,307-314,left,0.7261,8,moon,0.6667,TH05,mysk-b,2094.76
312,307-314,left,0.7261,8,moon,0.6667,TH06,mysk-a,2094.65
313,307-314,left,0.7261,8,moon,0.6667,TH07,mysk-b,2111.45
314,307-314,left,0.7261,8,moon,0.6667,TH08,moon-b,2607.99
315,315-318,right,0.9388,4-1,moon,1.0,TH01,moon-a,2607.99
316,315-318,right,0.9388,4-1,moon,1.0,TH02,moon-a,2179.8
317,315-318,right,0.9388,4-1,moon,1.0,TH03,moon-b,2179.8
318,315-318,right,0.9388,4-1,moon,1.0,TH04,moon-b,2607.99
319,319-322,right,0.9058,4-2,mysk,1.0,TH01,mysk-a,2586.13
320,319-322,right,0.9058,4-2,mysk,1.0,TH02,mysk-a,2111.02
321,319-322,right,0.9058,4-2,mysk,1.0,TH03,mysk-b,2111.02
322,319-322,right,0.9058,4-2,mysk,1.0,TH04,mysk-b,2586.13
323,323-330,right,0.9446,8,mysk,0.75,TH01,moon-a,2607.99
